자치구명,위치,Latitude,Longitude
용산구,서울특별시 용산구 철우아파트 옆 버스정류장(03-261),37.5235677,126.9690272
용산구,서울특별시 용산구 국립중앙박물관 정문앞 횡단보도,37.5238506,126.9804702
용산구,서울특별시 용산구 국립중앙박물관 버스정류장(가족공원쪽)(03-266),37.5238506,126.9804702
용산구,서울특별시 용산구 후암로11 채가네볼태기앞,37.5461258,126.9784924
용산구,서울특별시 용산구 후암로30길1 엘지유플러스 건너편 횡단보도앞,37.5503644,126.977437
용산구,서울특별시 용산구 한남시범아파트버스정류장(03-211),37.538018,127.012247
용산구,"서울특별시 용산구 서울역공항철도15번출구,국립극단버스정류장(03-345)",37.553083,126.968872
용산구,서울특별시 용산구 한남2치안센터옆 공원입구,37.5397329,127.0015235
용산구,서울특별시 용산구 한남오거리(순천향대학방면) 버스정류장(03-166),37.535486,127.00573
용산구,서울특별시 용산구 한강중학교(반포한강공원방면) 버스정류장(03-156),37.5103503,126.9960378
용산구,서울특별시 용산구 한강중학교건너편(용산구청방면) 버스정류장(03-155),37.532454,126.9902471
용산구,"서울특별시 용산구 용산구청,크라운 호텔(한강중학교앞방면) 버스정류장(03-154)",37.524874,126.992193
용산구,"서울특별시 용산구 용산구청,크라운 호텔(국군재정관리단방면) 버스정류장(03-153)",37.529685,126.99111
용산구,"서울특별시 용산구 국군재정관리단앞(이태원동남산대림아파트,용산동아파트방면) 버스정류장(03-152)",37.539845,126.987493
용산구,"서울특별시 용산구 해방촌(용산구청,크라운호텔방면) 버스정류장(03-151)",37.529685,126.99111
용산구,서울특별시 용산구 용암초등학교입구(남산3호터널앞) 버스정류장(03-148),37.543747,126.988623
용산구,"서울특별시 용산구 방태산식당앞(이촌2동주민센터,문화시설보건소셔틀버스정류장)",37.5264282,126.955334
용산구,서울특별시 용산구 남산도서관앞(두텁바위마을표지석앞) 버스정류장(03-168),37.552925,126.981414
