공원명,공원주소,관리부서,시도,위치,자치구명,자치구명 (자치구별 데이터.Csv),지역,1인당 배출량,Latitude,Longitude,X좌표(Wgs84),Y좌표(Wgs84),가로쓰레기통 개수,공원 개수,기간,기타,매립,면적,면적 (자치구별 데이터.Csv),면적당 배출량,미세먼지(㎍/㎥),배출량(C),소각,아황산가스(Ppm),오존(Ppm),이산화질소(Ppm),인구,일산화탄소(Ppm),재활용,초미세먼지(㎍/㎥)
발바닥공원,서울특별시 도봉구 시루봉로6길 33,공원녹지과,서울특별시,서울특별시 도봉구 쌍4 현대234차 상가 옆,도봉구,도봉구,도봉구,0.002400851,37.6570975,127.0311388,127.031982,37.6597135,235,6,2020,42.8,60.4,7000,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
발바닥공원,서울특별시 도봉구 시루봉로6길 33,공원녹지과,서울특별시,서울특별시 도봉구 신방학중학교 건너편,도봉구,도봉구,도봉구,0.002400851,37.6636445,127.0295168,127.031982,37.6597135,235,6,2020,42.8,60.4,7000,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
영등포근린공원,서울특별시 영등포구 신길로 275,영등포구청 푸른도시과,서울특별시,서울특별시 영등포구 영등포역 버스중앙차로(19-005),영등포구,영등포구,영등포구,0.006374537,37.5154133,126.9071288,126.910662,37.515423,183,5,2020,6.6,63.7,61544,24.55,104.1181263,34,2556.1,108.3,0.003,0.024,0.026,400986,0.5,2377.5,21
초안산근린공원,서울특별시 도봉구 창동 산157,도봉구청 공원녹지과,서울특별시,서울특별시 도봉구 초안산 생태공원 입구,도봉구,도봉구,도봉구,0.002400851,37.6481864,127.0455709,127.0455446,37.648316,235,6,2020,42.8,60.4,664905,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
월천근린공원,서울특별시 도봉구 창동 28번지,공원녹지과,서울특별시,서울특별시 도봉구 초안산 생태공원 입구,도봉구,도봉구,도봉구,0.002400851,37.6481864,127.0455709,127.0509895,37.6473889,235,6,2020,42.8,60.4,10712,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
영등포근린공원,서울특별시 영등포구 신길로 275,영등포구청 푸른도시과,서울특별시,서울특별시 영등포구 대성병원 버스정류장(19-101),영등포구,영등포구,영등포구,0.006374537,37.512294,126.909913,126.910662,37.515423,183,5,2020,6.6,63.7,61544,24.55,104.1181263,34,2556.1,108.3,0.003,0.024,0.026,400986,0.5,2377.5,21
초안산생태공원,서울특별시 도봉구 창동 산24,도봉구청 공원녹지과,서울특별시,서울특별시 도봉구 초안산 생태공원 입구,도봉구,도봉구,도봉구,0.002400851,37.6481864,127.0455709,127.0405382,37.6479483,235,6,2020,42.8,60.4,22113,20.66,39.00290416,35,805.8,78.2,0.003,0.024,0.024,335631,0.5,624.4,19
경춘선숲길,노원구 공릉2동 산 82-2,중부공원녹지사업소,서울특별시,서울특별시 노원구 공릉역4번출구,노원구,노원구,,0.002962016,37.626107,127.072518,127.076482,37.627077,54,2,2020,1.7,111.7,211392,35.44,44.90688488,36,1591.5,111.3,0.003,0.024,0.028,537303,0.6,1366.8,19
경춘선숲길,노원구 공릉2동 산 82-2,중부공원녹지사업소,서울특별시,서울특별시 노원구 공릉2동 우방아파트 앞 버스정류장,노원구,노원구,,0.002962016,37.626107,127.072518,127.076482,37.627077,54,2,2020,1.7,111.7,211392,35.44,44.90688488,36,1591.5,111.3,0.003,0.024,0.028,537303,0.6,1366.8,19
경춘선숲길,노원구 공릉2동 산 82-2,중부공원녹지사업소,서울특별시,서울특별시 노원구 공릉1동 공릉역 1번 출구,노원구,노원구,,0.002962016,37.626658,127.072693,127.076482,37.627077,54,2,2020,1.7,111.7,211392,35.44,44.90688488,36,1591.5,111.3,0.003,0.024,0.028,537303,0.6,1366.8,19
신사근린공원,서울특별시 은평구 신사동 산80-4,은평구청 공원녹지과,서울특별시,서울특별시 은평구 가좌로 325 파리바게트,은평구,은평구,은평구,0.004769826,37.5962762,126.9090105,126.9102948,37.5920771,295,6,2020,0.6,110,111650,29.71,77.79198923,38,2311.2,54.2,0.003,0.024,0.02,484546,0.4,2146.4,21
사육신공원,서울특별시 동작구 노량진로 191,동작구청 공원녹지과,서울특별시,서울특별시 동작구 한강쌍용아파트 파출소앞(9호선노들역4번출구),영등포구,영등포구,동작구,0.006374537,37.5121521,126.9530291,126.948636,37.5137049,183,5,2020,6.6,63.7,47832,24.55,104.1181263,34,2556.1,108.3,0.003,0.024,0.026,400986,0.5,2377.5,21
불광근린공원,서울특별시 은평구 불광동 산33-1,은평구청 공원녹지과,서울특별시,서울특별시 은평구 연서로 290 불광지구대,은평구,은평구,은평구,0.004769826,37.6213883,126.9265841,126.9298962,37.6188016,295,6,2020,0.6,110,130345,29.71,77.79198923,38,2311.2,54.2,0.003,0.024,0.02,484546,0.4,2146.4,21
불광근린공원,서울특별시 은평구 불광동 산33-1,은평구청 공원녹지과,서울특별시,서울특별시 은평구 연서로 291 서서울 농협 연서지점,은평구,은평구,은평구,0.004769826,37.6217067,126.9262864,126.9298962,37.6188016,295,6,2020,0.6,110,130345,29.71,77.79198923,38,2311.2,54.2,0.003,0.024,0.02,484546,0.4,2146.4,21
사육신공원,서울특별시 동작구 노량진로 191,동작구청 공원녹지과,서울특별시,서울특별시 동작구 서울노량진우체국 앞,동작구,동작구,동작구,0.003703242,37.5124576,126.9506404,126.948636,37.5137049,181,7,2020,0.7,28.1,47832,16.35,92.617737,40,1514.3,74.6,0.003,0.023,0.025,408912,0.4,1410.9,22
사육신공원,서울특별시 동작구 노량진로 191,동작구청 공원녹지과,서울특별시,서울특별시 동작구 서울토량진우체국앞 중앙차로(20-014),동작구,동작구,동작구,0.003703242,37.5124576,126.9506404,126.948636,37.5137049,181,7,2020,0.7,28.1,47832,16.35,92.617737,40,1514.3,74.6,0.003,0.023,0.025,408912,0.4,1410.9,22
신사근린공원,서울특별시 은평구 신사동 산80-4,은평구청 공원녹지과,서울특별시,서울특별시 은평구 은평터널로 143 카맨샵 앞,은평구,은평구,은평구,0.004769826,37.5917804,126.9058925,126.9102948,37.5920771,295,6,2020,0.6,110,111650,29.71,77.79198923,38,2311.2,54.2,0.003,0.024,0.02,484546,0.4,2146.4,21
연신내물빛공원,서울특별시 은평구 통일로 849,은평구청 공원녹지과,서울특별시,서울특별시 은평구 통일로830 노스페이스 매장 앞(불광1동304-2),은평구,은평구,은평구,0.004769826,37.6178053,126.9226957,126.9207354,37.619052,295,6,2020,0.6,110,2560,29.71,77.79198923,38,2311.2,54.2,0.003,0.024,0.02,484546,0.4,2146.4,21
